sample_id,n_het_X,n_called_X,n_het_3L,n_called_3L,n_het_3R,n_called_3R,n_het_2R,n_called_2R,n_het_2L,n_called_2L,n_het_3L_no_inv,n_called_3L_no_inv,n_het_3R_no_inv,n_called_3R_no_inv,n_het_2R_no_inv,n_called_2R_no_inv
VBS24195,159735,13210195,377992,28134634,510250,36078586,645885,46919562,538040,36796424,173694,13546775,198527,17691045,508501,35625018
VBS24196,168555,13209625,348573,28130941,488222,36092100,651148,46917025,379214,36804494,129652,13546512,219283,17689422,515734,35621205
VBS24197,179814,13208276,385086,28131251,506421,36076756,640992,46920647,528886,36788937,159380,13547270,190204,17689654,497306,35625730
VBS24198,170138,13206032,362779,28129446,558771,36069804,668032,46904102,524003,36788738,154959,13547378,215783,17687489,519551,35616296
VBS24199,172852,13207960,368448,28136218,506277,36090242,588985,46923098,504157,36795961,169478,13548605,247618,17686009,462626,35630056
VBS24200,136647,13209678,307400,28138209,497562,36091066,614127,46923549,566398,36787296,140172,13546731,225273,17688423,462712,35629837
VBS24201,145278,13213171,282452,28143679,497210,36091204,617742,46923581,539563,36792835,107214,13553098,214046,17690546,477781,35629515
VBS24202,24197,13231946,344160,28126689,253190,36109718,197350,46949064,570211,36785696,176990,13541762,110693,17698354,186640,35651034
VBS24203,116377,13207585,345064,28113930,451852,36076271,639424,46897715,532460,36769810,148052,13533364,228657,17676904,519828,35610927
VBS24204,63927,13218270,394817,28121822,428697,36087713,618131,46916800,564373,36783736,149160,13539383,146852,17688093,481799,35625016
VBS24205,220529,13199730,533970,28135103,601609,36081817,835728,46916609,660392,36779760,242342,13540401,276659,17684436,605521,35617662
VBS24209,183385,13203656,373022,28113362,476479,36078026,610373,46905653,551671,36774824,159403,13538197,194124,17682961,451124,35616930
VBS24210,180230,13202703,443673,28117039,477431,36076056,737015,46894055,629873,36769817,188678,13542928,174553,17684737,565751,35605760
VBS24213,160973,13210818,388861,28132255,467214,36093363,596369,46922554,554611,36787701,175938,13547301,189751,17689506,462385,35627150
VBS24216,167438,13205869,397774,28130384,479560,36084758,616544,46919183,568998,36786884,173218,13547243,227331,17685979,483999,35625334
VBS24218,161310,13208618,397628,28135715,470270,36098040,623821,46920262,477065,36799808,175426,13549306,210463,17692757,468217,35627720
VBS24221,183720,13197252,402933,28102975,528258,36055393,697865,46879861,591919,36752845,162533,13532421,233249,17668575,541188,35595330
VBS24222,174920,13204873,437514,28125375,548097,36086719,618952,46914735,639990,36776168,185357,13545930,237270,17688639,470480,35622461
VBS24225,91375,13204788,323208,28089884,359340,36040235,588648,46859389,277038,36747805,118680,13522396,169771,17654624,465507,35577629
VBS24226,121461,13205391,292239,28104664,561055,36043233,585559,46883536,576274,36754836,142199,13525669,215263,17670559,449748,35600058
VBS24227,148846,13207366,361157,28108298,551335,36052512,261550,46930026,567896,36762495,165327,13530425,218460,17674327,202018,35636395
VBS24228,178200,13206465,411272,28122143,537715,36081855,658875,46913784,605748,36774901,188283,13540437,239300,17684303,513371,35618574
VBS24229,184192,13195457,439014,28094831,609825,36031704,619183,46872420,597155,36746740,197550,13528049,261392,17663583,466751,35589697
VBS24230,161123,13205056,409297,28115371,505290,36071174,637395,46904315,532039,36774863,199436,13535250,228873,17678191,493219,35613886
VBS24231,174193,13206804,389795,28118170,476558,36091082,675792,46919076,574174,36785111,156660,13536075,190473,17689334,528681,35623964
VBS24232,173736,13197701,365471,28097784,502949,36047412,663583,46872044,577778,36746220,181899,13525761,224890,17663254,510742,35587331
VBS24233,172483,13205998,390468,28131713,489054,36090196,684276,46913355,556286,36784937,174167,13547796,222092,17686793,531328,35620590
VBS24234,153313,13202065,369102,28108026,575436,36052138,567612,46900774,552412,36762589,144076,13533378,240139,17674740,432809,35610635
VBS24235,167061,13208843,397226,28132966,522453,36080373,609958,46923419,585752,36788626,175276,13547757,231673,17683371,467369,35629377
VBS24236,175819,13207590,382129,28130520,545655,36076167,622106,46919381,545822,36790966,166991,13546979,215894,17689752,495134,35624988
VBS24238,126426,13206511,237988,28109112,567264,36044450,551145,46893116,546647,36760600,141176,13525915,224171,17669995,437752,35603245
VBS24239,161231,13208746,410134,28128293,466210,36089874,650001,46914805,576418,36783175,181321,13543228,211356,17687835,503419,35619753
VBS24240,168391,13209223,378782,28133400,441056,36092815,607799,46923686,580402,36786409,168286,13546036,222790,17690739,462295,35630458
VBS24241,156026,13203209,400708,28109298,522463,36063533,674366,46890128,560835,36763342,178910,13532834,231666,17670783,517090,35600318
VBS24242,165945,13189372,386246,28069611,537119,36006118,644898,46838468,568376,36719575,164627,13511946,222708,17651034,501366,35560364
VBS24243,195325,13205328,418285,28126784,489065,36091716,626976,46924045,526496,36792674,182758,13543225,203982,17690374,476414,35629648
VBS17729,147356,13243603,433687,28178319,500719,36129880,715209,46967202,543777,36831256,190942,13561146,237590,17704891,490232,35663111
VBS17730,144611,13244072,439039,28176643,498358,36130531,609526,46996130,549952,36829451,196773,13560739,231661,17705395,499164,35661760
VBS17731,130980,13245441,427717,28177686,626059,36083251,728844,46963271,516788,36834337,192391,13562164,237474,17703277,505425,35659681
VBS17732,134652,13245133,437305,28176091,483509,36131649,695932,46973155,495012,36838626,189145,13560504,223525,17705233,492972,35663698
VBS17733,150439,13240455,436283,28172032,430520,36108278,729138,46962779,557813,36826905,190854,13559127,207394,17705336,503389,35659571
VBS17734,120623,13243206,430927,28176342,486062,36133098,699192,46969225,551100,36826002,200604,13560197,214582,17708377,493169,35659792
VBS17735,144193,13243757,446371,28174661,570677,36105133,710883,46955483,514034,36834499,193938,13560063,237904,17701409,509677,35660546
VBS17736,144333,13243831,440963,28175774,493941,36130815,687113,46955327,552632,36825384,199699,13559354,236178,17703622,495022,35661125
VBS17737,144655,13244111,425826,28176856,562206,36105636,609784,46996620,532588,36832507,189026,13560946,234847,17705434,500904,35662354
VBS17738,141406,13243894,523460,28151334,473659,36131485,707508,46966080,542514,36833361,204581,13559141,213990,17707180,483927,35661081
VBS17739,143391,13243581,445159,28173456,557963,36104874,603175,46981931,328670,36852408,200631,13558946,234453,17704157,396013,35673799
VBS17740,144686,13242472,441779,28176922,483788,36130625,695973,46973274,525808,36829634,197736,13562356,229633,17704796,490417,35664821
VBS17741,148914,13242720,433220,28178209,624126,36084682,730030,46966296,533969,36831158,194313,13561416,232741,17705866,505454,35661120
VBS17742,140016,13242989,440548,28172890,627155,36083494,728380,46960720,537182,36830200,194407,13558676,237371,17703248,503573,35656635
VBS17743,135998,13244659,429081,28176630,631933,36082351,645012,46964777,539747,36829885,185631,13561716,242263,17703341,507269,35660311
