	Ghana_Northern-Region	Benin_Atlantique-Dept	Ghana_Ashanti-Region	Nigeria_Ogun-State	Cameroon_Adamawa	CAR_Ombella-MPoko	DRC_Haut-Uele	Uganda_Eastern-Region	Kenya_Western-Prov	Kenya_Nyanza-Prov	Gabon_Haut-Ogooue	DRC_Kinshasa	Tanzania_Morogoro-Region	Mozambique_Cabo-Delgado	Zambia_Eastern-Prov	Malawi_Southern-Region	Mozambique_Maputo
Ghana_Northern-Region	90331.0	8728.0	24479.0	20319.0	19291.0	0.0	20398.0	19895.0	0.0	19714.0	1109.0	2454.0	0.0	2235.0	2626.0	0.0	2510.0
Benin_Atlantique-Dept	0.0	161719.0	35078.0	31884.0	30325.0	0.0	31937.0	30784.0	0.0	29762.0	1226.0	2734.0	0.0	1769.0	2404.0	0.0	2332.0
Ghana_Ashanti-Region	0.0	0.0	128378.0	100532.0	88330.0	0.0	85617.0	83280.0	0.0	80319.0	2924.0	6616.0	0.0	4575.0	5778.0	0.0	5920.0
Nigeria_Ogun-State	0.0	0.0	0.0	174576.0	79509.0	0.0	81313.0	78190.0	0.0	75763.0	2826.0	6122.0	0.0	3974.0	5439.0	0.0	5320.0
Cameroon_Adamawa	0.0	0.0	0.0	0.0	205334.0	0.0	77982.0	75052.0	0.0	72183.0	2823.0	5819.0	0.0	3850.0	5256.0	0.0	5340.0
CAR_Ombella-MPoko	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DRC_Haut-Uele	0.0	0.0	0.0	0.0	0.0	0.0	91248.0	138788.0	0.0	132047.0	3175.0	6614.0	0.0	4872.0	6661.0	0.0	6272.0
Uganda_Eastern-Region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76570.0	0.0	147749.0	3030.0	6808.0	0.0	5030.0	6666.0	0.0	6105.0
Kenya_Western-Prov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kenya_Nyanza-Prov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80266.0	3130.0	7351.0	0.0	5253.0	7414.0	0.0	6177.0
Gabon_Haut-Ogooue	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30607.0	8638.0	0.0	798.0	1108.0	0.0	889.0
DRC_Kinshasa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36492.0	0.0	1943.0	3097.0	0.0	1983.0
Tanzania_Morogoro-Region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mozambique_Cabo-Delgado	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15090.0	26188.0	0.0	7725.0
Zambia_Eastern-Prov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15486.0	0.0	6700.0
Malawi_Southern-Region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mozambique_Maputo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46196.0
