	Ghana_Northern-Region	Benin_Atlantique-Dept	Ghana_Ashanti-Region	Nigeria_Ogun-State	Cameroon_Adamawa	CAR_Ombella-MPoko	DRC_Haut-Uele	Uganda_Eastern-Region	Kenya_Western-Prov	Kenya_Nyanza-Prov	Gabon_Haut-Ogooue	DRC_Kinshasa	Tanzania_Morogoro-Region	Mozambique_Cabo-Delgado	Zambia_Eastern-Prov	Malawi_Southern-Region	Mozambique_Maputo
Ghana_Northern-Region	48041.0	4372.0	9668.0	9074.0	6949.0	0.0	8725.0	8046.0	0.0	7732.0	556.0	1290.0	0.0	1303.0	1603.0	0.0	1149.0
Benin_Atlantique-Dept	0.0	122305.0	17879.0	17894.0	13521.0	0.0	16829.0	16241.0	0.0	15193.0	862.0	1654.0	0.0	1290.0	1949.0	0.0	1379.0
Ghana_Ashanti-Region	0.0	0.0	86607.0	57796.0	33871.0	0.0	34617.0	34626.0	0.0	32580.0	1423.0	3015.0	0.0	2273.0	3309.0	0.0	2312.0
Nigeria_Ogun-State	0.0	0.0	0.0	109751.0	33567.0	0.0	35091.0	34613.0	0.0	32869.0	1466.0	2945.0	0.0	2255.0	3124.0	0.0	2072.0
Cameroon_Adamawa	0.0	0.0	0.0	0.0	105950.0	0.0	32992.0	26695.0	0.0	25101.0	1157.0	2303.0	0.0	1784.0	2707.0	0.0	1850.0
CAR_Ombella-MPoko	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DRC_Haut-Uele	0.0	0.0	0.0	0.0	0.0	0.0	74519.0	78259.0	0.0	69081.0	1531.0	3409.0	0.0	2785.0	4125.0	0.0	2674.0
Uganda_Eastern-Region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45708.0	0.0	86049.0	1527.0	3366.0	0.0	2701.0	4259.0	0.0	2450.0
Kenya_Western-Prov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kenya_Nyanza-Prov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48674.0	1562.0	3660.0	0.0	2823.0	4646.0	0.0	2336.0
Gabon_Haut-Ogooue	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21030.0	5410.0	0.0	548.0	917.0	0.0	465.0
DRC_Kinshasa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25230.0	0.0	1384.0	2522.0	0.0	1099.0
Tanzania_Morogoro-Region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mozambique_Cabo-Delgado	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11599.0	23268.0	0.0	4933.0
Zambia_Eastern-Prov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16096.0	0.0	4560.0
Malawi_Southern-Region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mozambique_Maputo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21190.0
