	Ghana_Northern-Region	Benin_Atlantique-Dept	Ghana_Ashanti-Region	Nigeria_Ogun-State	Cameroon_Adamawa	CAR_Ombella-MPoko	DRC_Haut-Uele	Uganda_Eastern-Region	Kenya_Western-Prov	Kenya_Nyanza-Prov	Gabon_Haut-Ogooue	DRC_Kinshasa	Tanzania_Morogoro-Region	Mozambique_Cabo-Delgado	Zambia_Eastern-Prov	Malawi_Southern-Region	Mozambique_Maputo
Ghana_Northern-Region	58137.0	6846.0	16080.0	13354.0	10065.0	0.0	15342.0	10303.0	0.0	8390.0	968.0	2211.0	0.0	1904.0	2436.0	0.0	2046.0
Benin_Atlantique-Dept	0.0	214180.0	18974.0	17661.0	21309.0	0.0	23319.0	14585.0	0.0	16884.0	1192.0	3083.0	0.0	2028.0	3188.0	0.0	2652.0
Ghana_Ashanti-Region	0.0	0.0	98318.0	70121.0	46497.0	0.0	58801.0	42306.0	0.0	31227.0	1983.0	4452.0	0.0	2642.0	3886.0	0.0	3297.0
Nigeria_Ogun-State	0.0	0.0	0.0	121819.0	43280.0	0.0	56153.0	39823.0	0.0	29994.0	1836.0	4397.0	0.0	2405.0	3783.0	0.0	3152.0
Cameroon_Adamawa	0.0	0.0	0.0	0.0	154254.0	0.0	44155.0	30589.0	0.0	24618.0	1439.0	3552.0	0.0	2079.0	3229.0	0.0	2708.0
CAR_Ombella-MPoko	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DRC_Haut-Uele	0.0	0.0	0.0	0.0	0.0	0.0	69552.0	68825.0	0.0	65221.0	2223.0	5580.0	0.0	3220.0	5388.0	0.0	4220.0
Uganda_Eastern-Region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67404.0	0.0	103493.0	1718.0	3860.0	0.0	2407.0	3948.0	0.0	2962.0
Kenya_Western-Prov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kenya_Nyanza-Prov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67313.0	1508.0	3903.0	0.0	2947.0	5044.0	0.0	3101.0
Gabon_Haut-Ogooue	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26335.0	10225.0	0.0	738.0	1257.0	0.0	698.0
DRC_Kinshasa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36975.0	0.0	1948.0	3427.0	0.0	1913.0
Tanzania_Morogoro-Region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mozambique_Cabo-Delgado	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17235.0	24359.0	0.0	7629.0
Zambia_Eastern-Prov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20618.0	0.0	7998.0
Malawi_Southern-Region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mozambique_Maputo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39768.0
