	Ghana_Northern-Region	Benin_Atlantique-Dept	Ghana_Ashanti-Region	Nigeria_Ogun-State	Cameroon_Adamawa	CAR_Ombella-MPoko	DRC_Haut-Uele	Uganda_Eastern-Region	Kenya_Western-Prov	Kenya_Nyanza-Prov	Gabon_Haut-Ogooue	DRC_Kinshasa	Tanzania_Morogoro-Region	Mozambique_Cabo-Delgado	Zambia_Eastern-Prov	Malawi_Southern-Region	Mozambique_Maputo
Ghana_Northern-Region	22762.0	2355.0	7178.0	5465.0	4148.0	0.0	6158.0	6294.0	0.0	5833.0	151.0	476.0	0.0	419.0	481.0	0.0	532.0
Benin_Atlantique-Dept	0.0	54438.0	14499.0	11088.0	8590.0	0.0	12061.0	12283.0	0.0	10933.0	214.0	578.0	0.0	374.0	483.0	0.0	536.0
Ghana_Ashanti-Region	0.0	0.0	56234.0	35867.0	26894.0	0.0	36869.0	37537.0	0.0	33824.0	569.0	1596.0	0.0	913.0	1277.0	0.0	1601.0
Nigeria_Ogun-State	0.0	0.0	0.0	60931.0	20579.0	0.0	29630.0	30322.0	0.0	27270.0	452.0	1162.0	0.0	804.0	1026.0	0.0	1287.0
Cameroon_Adamawa	0.0	0.0	0.0	0.0	87289.0	0.0	22562.0	23448.0	0.0	20980.0	344.0	940.0	0.0	552.0	742.0	0.0	1006.0
CAR_Ombella-MPoko	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DRC_Haut-Uele	0.0	0.0	0.0	0.0	0.0	0.0	40872.0	53805.0	0.0	47701.0	496.0	1407.0	0.0	880.0	1282.0	0.0	1524.0
Uganda_Eastern-Region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30920.0	0.0	55185.0	554.0	1509.0	0.0	899.0	1283.0	0.0	1476.0
Kenya_Western-Prov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kenya_Nyanza-Prov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42672.0	592.0	1458.0	0.0	874.0	1307.0	0.0	1476.0
Gabon_Haut-Ogooue	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6163.0	1009.0	0.0	73.0	140.0	0.0	128.0
DRC_Kinshasa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7058.0	0.0	214.0	305.0	0.0	247.0
Tanzania_Morogoro-Region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mozambique_Cabo-Delgado	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2465.0	3484.0	0.0	717.0
Zambia_Eastern-Prov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2131.0	0.0	622.0
Malawi_Southern-Region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mozambique_Maputo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5644.0
