	Ghana_Northern-Region	Benin_Atlantique-Dept	Ghana_Ashanti-Region	Nigeria_Ogun-State	Cameroon_Adamawa	CAR_Ombella-MPoko	DRC_Haut-Uele	Uganda_Eastern-Region	Kenya_Western-Prov	Kenya_Nyanza-Prov	Gabon_Haut-Ogooue	DRC_Kinshasa	Tanzania_Morogoro-Region	Mozambique_Cabo-Delgado	Zambia_Eastern-Prov	Malawi_Southern-Region	Mozambique_Maputo
Ghana_Northern-Region		0.11949798120576738	0.09302007286074064	0.09745299940075387	0.09763865690450022	0.09628530164081996	0.09977919949202692	0.09844643102390131	0.10001226322136145	0.09808798787243043	0.2527077906832703	0.24552385722996717	0.30298943073011175	0.30185319609202044	0.2991138416274256	0.30198720296467935	0.329525429964099
Benin_Atlantique-Dept	0.00640123159499954		0.032115507744965036	0.03681349557873696	0.037267671417964415	0.034815431121904564	0.03990807572836593	0.03759013551741388	0.03919897436381491	0.03757723589175918	0.19393486172394192	0.18666674799515293	0.24452370702425702	0.2434714709005436	0.24080895927329174	0.24335221577349334	0.27189173223303115
Ghana_Ashanti-Region	0.004789658865324059	0.0025835382120519357		0.008025490422443812	0.010163533592849678	0.007801085474082283	0.013068041102226148	0.01054021483544217	0.012322703917664726	0.010589217360365397	0.16646935652000613	0.15938755678083874	0.21728275207519307	0.2162485078820162	0.21361432201565445	0.21621121717433833	0.24489146557198624
Nigeria_Ogun-State	0.005380815682539478	0.0031470193698341603	0.0009688444554220347		0.014367030493833895	0.012046933041597157	0.01734137613347577	0.0148457898890995	0.016596360655762726	0.014861023569762535	0.1705033229299292	0.16343769969739894	0.22139276765066915	0.22041240297082632	0.21773682551066006	0.22032847282086301	0.24915719339592923
Cameroon_Adamawa	0.005514421998291561	0.0032913244133462092	0.001207216145198334	0.0017355806366790563		0.01335841058731316	0.01707784526628296	0.01582744080683381	0.01721379793511114	0.01590149649297801	0.17019362342078054	0.16343674706014283	0.2220709035913393	0.22096571206096752	0.2181180292063055	0.22075912385057483	0.24943436866179533
CAR_Ombella-MPoko	0.004306310941464785	0.002407059732839689	0.0006406051466159955	0.0011628109819374216	0.0013397389843449806		0.007671543424627496	0.004718863584032195	0.0076566598239606746	0.0054552448895896525	0.16921012803957247	0.16201946626649322	0.2189132081173175	0.21846602585888544	0.21583573106781176	0.2185014616202067	0.24737287084397871
DRC_Haut-Uele	0.005172781286112742	0.0029499348764656327	0.000846387918571525	0.0013313097325194955	0.0014880935796505353	0.0007431739853779614		0.0039761503494625825	0.006229734037012285	0.004570012143550396	0.17072751623608096	0.1637677996429134	0.21975235931763673	0.21969442222083044	0.21683458212648998	0.21950068161201547	0.24825944884039566
Uganda_Eastern-Region	0.00518729772094032	0.0029122011395229523	0.0007775058949828246	0.001261387714127553	0.0014490393014907129	0.0006965350775676673	0.0002708139747634882		0.002359205865033843	0.0008341653514725903	0.16621177535205883	0.15880995185823507	0.21342629464610124	0.2133887951333717	0.21064995703222777	0.21325782541765026	0.24230436867764152
Kenya_Western-Prov	0.004903867944132548	0.0028227138966113886	0.0008884748548899594	0.0013899532532623236	0.0015603743995845473	0.0005540253006958757	0.0005167447844892463	0.0003044440475944245		0.0007315317719175197	0.14845433078018327	0.14053110568823293	0.18892602965619967	0.1889675142912141	0.18614305184854846	0.18910535274157425	0.21952230945501808
Kenya_Nyanza-Prov	0.005266033774358243	0.003000195998221277	0.0008698754741528131	0.0013498339223067702	0.0015440639446568968	0.0007968341678779538	0.0003770038910107515	0.00011389038226724585	0.00017476162512906017		0.15757433544911353	0.1500871857286689	0.20200221378969016	0.2020210463268668	0.19932648233385947	0.20195716761146462	0.23155583347488953
Gabon_Haut-Ogooue	0.010059083570039706	0.008798772045497477	0.007406454533393854	0.008002867667592369	0.008119943163402376	0.006514430830415684	0.00769863142978211	0.007586707187670243	0.006228034925848007	0.007275490323272146		0.035912506394952144	0.1470163360254455	0.14589406369757973	0.14199833027035705	0.14694008321405824	0.1877791875002253
DRC_Kinshasa	0.009823379426475482	0.008551552099012547	0.007150687529615299	0.007740786635941468	0.007866591222391688	0.0062770252703580045	0.007435955304964508	0.007311882800172197	0.005933679238843888	0.006989041255054618	0.0012359209575314		0.12940872848607288	0.12876912260136836	0.12491479920753013	0.12963755165224117	0.17229039498744855
Tanzania_Morogoro-Region	0.01027937846072377	0.009225534924052115	0.007948070643445923	0.008556321883871504	0.00869591380844388	0.0068693566767627605	0.008223996077187162	0.008090212878251303	0.006554438753450637	0.0077555035970936865	0.003955176682898361	0.0035059534093563106		0.0248226173771925	0.018888526979407738	0.02456524317451855	0.10520912280328582
Mozambique_Cabo-Delgado	0.010816320973356584	0.009684089252059823	0.00836660677088307	0.008973199263653099	0.009108669759457781	0.0073566710759677455	0.00864268456777814	0.008496459267083494	0.006946136579555504	0.008136567692660236	0.004123101541852522	0.0036272518600009743	0.0006463264461570374		0.002711190699309423	0.0035415956959379664	0.08338109288860553
Zambia_Eastern-Prov	0.010771888561478659	0.009634985411300527	0.008309899278830274	0.00891364831553112	0.00904846679086478	0.007310957230736635	0.008582111606357237	0.008437602005536227	0.006882389457345302	0.008077218720177512	0.004043160669660695	0.0035493145400601936	0.000517686288393675	7.423550888526278e-05		0.003244953514458549	0.08642229362256325
Malawi_Southern-Region	0.010586527307598284	0.00949121971754099	0.008195979395829346	0.008798766997139242	0.00893138127525904	0.007168601995960329	0.00847058719657378	0.008333543139710305	0.0067882820390061435	0.007983360540227216	0.004039315810043609	0.00357631012175088	0.0005253991802405769	8.104092061932175e-05	8.247805275653507e-05		0.0868227121418505
Mozambique_Maputo	0.011330957798210306	0.010264917380936354	0.008968307758906639	0.009579095370314884	0.009706569528537537	0.007939792084713017	0.009236032234267834	0.009108386083442404	0.0076261572448539355	0.008779187659551322	0.0050867161798363045	0.0046705007765070325	0.0022720325362025934	0.002047344235667682	0.002126938941456597	0.002011501036017406	
