VBS_sample_id,contributor,country,location,collection_year,collection_month,latitude,longitude,date_of_collection,collection_context,collection_method,collection_time,collector_sample_id,sample_type,specimen_sex_partner,specimen_storage_partner,Lifestage,dna_extraction_method_partner,sample_type_received,body_part_lab,dna_extraction_method_lab,total_dna_lab,species_pcr,sequencing_pipeline,mean_cov,median_cov,modal_cov,mean_cov_2RL,median_cov_2RL,mode_cov_2RL,mean_cov_3RL,median_cov_3RL,mode_cov_3RL,mean_cov_X,median_cov_X,mode_cov_X,frac_gen_cov,divergence,pc_contam,LLR,sex_call,PCA_QC_outlier,FILTER_frac_genome_cov,FILTER_median_cov,FILTER_contamination,FILTER_nosexcall,FILTER_divergence,FILTER_pca,sample_set,adm_level,geographic_cohort,geographic_cohort_code,geographic_cohort_colour,geographic_cohort_shape,PCA_cohort,PCA_cohort_colour,karyotype_3La,karyotype_3Ra,karyotype_3Rb,karyotype_2Ra,karyotype_2Rh,karyotype_2Rt,mitochondrial_id,subset_1,subset_2,subset_3,heterozygous_sites,raw_total_sequences,reads_mapped,reads_mapped_and_paired,reads_unmapped,reads_properly_paired,reads_paired,reads_duplicated,reads_MQ0,non-primary_alignments,total_length,bases_mapped,bases_mapped_(cigar),bases_duplicated,mismatches,error_rate,average_quality,insert_size_average,insert_size_standard_deviation,inward_oriented_pairs,outward_oriented_pairs,pairs_with_other_orientation,pairs_on_different_chromosomes,ena_run_accessions
VBS17190,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,1,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,110.4,fun,STD,34.6,34,34,34.83,34,34,34.63,34,34,33.31,33,34,0.942,0.01873,1.47,1910.556,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3Ra/a,3Rb/b,2R+/a,2R+/h,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2756029,80501910,72530655,71024784,7971255,65598216,80501910,6777340,15801617,4216292,12155788410,10952128905,10330377327,1023378340,283588237,0.0275,36.9,649.3,1177.6,32411375,1042230,329372,1609379,"ERR2659589,ERR2659624,ERR2659659"
VBS17191,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,2,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,164.6,fun,STD,35.4,35,35,35.76,35,35,35.46,35,35,33.45,34,35,0.942,0.01878,1.631,2160.324,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3R+/a,3Rb/b,2R+/+,2R+/h,2R+/+,funestus-lineageI-clusterB,Y,Y,N,2812654,69752490,68998012,68615972,754478,63626020,69752490,5234082,13148289,3775426,10532625990,10418699812,9992968446,790346382,282854658,0.0283,36.8,635.5,1134,31615351,844567,307370,1453795,"ERR2659820,ERR2659855,ERR2659890"
VBS17192,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,3,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,159.7,fun,STD,34.99,34,34,35.11,35,35,35.19,34,34,33.64,33,34,0.94,0.01919,1.401,1923.112,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3R+/+,3R+/b,2R+/a,2R+/h,2R+/t,funestus-lineageI-clusterB,Y,Y,Y,2803140,75518728,73446957,72706086,2071771,67266620,75518728,7101411,16157186,4339145,11403327928,11090490507,10533199298,1072313061,286495654,0.0272,37.2,611.8,1164.8,33223916,982688,342987,1664748,"ERR2659709,ERR2659744,ERR2659779"
VBS17193,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,4,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,123.8,fun,STD,33.69,33,33,33.84,33,33,33.67,33,33,32.99,32,33,0.941,0.01875,1.525,1934.173,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3R+/a,3Rb/b,2R+/+,2R+/h,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2785919,72111380,70674723,70107300,1436657,64827786,72111380,7200710,14955306,4080634,10888818380,10671883173,10181559621,1087307210,274678395,0.027,37.3,625.6,1153.4,32041874,973405,322974,1597513,"ERR2659293,ERR2659328,ERR2659363"
VBS17195,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,7,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,182.9,fun,STD,34.23,34,34,34.47,34,34,34.35,34,34,32.65,33,34,0.941,0.01868,1.621,2070.302,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3Ra/a,3Rb/b,2R+/+,2R+/h,2R+/+,funestus-lineageI-clusterB,Y,Y,N,2775543,68658878,67788637,67377652,870241,62392020,68658878,5275781,13214368,3856105,10367490578,10236084187,9784038450,796642931,278710855,0.0285,36.7,662.4,1152.8,30891448,893728,304329,1489823,"ERR2659805,ERR2659840,ERR2659875"
VBS17196,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,9,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,97.1,fun,STD,35.14,35,35,35.47,35,35,35.2,35,35,33.3,34,35,0.939,0.01897,0.99,1161.619,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3Ra/a,3Rb/b,2R+/+,2R+/+,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2711168,76082174,73661017,72827736,2421157,67688846,76082174,8506402,15434959,4184660,11488408274,11122813567,10592419793,1284466702,273909740,0.0259,37.9,594.6,1125.2,33550443,865237,325474,1559478,"ERR2659403,ERR2659438,ERR2659473"
VBS17197,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,10,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,126.9,fun,STD,42.63,42,42,42.95,43,43,42.65,42,42,41.01,41,42,0.944,0.01855,1.398,2500.515,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3R+/a,3Rb/b,2R+/+,2Rh/h,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2601336,91047438,88625835,87856768,2421603,81492232,91047438,9384431,17955493,4857821,13748163138,13382501085,12780509104,1417049081,348082153,0.0272,37.2,609.2,1143.6,40247450,1270981,394980,1874254,"ERR2659714,ERR2659749,ERR2659784"
VBS17198,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,11,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,173.8,fun,STD,26.57,26,26,26.64,26,26,26.65,26,26,25.95,25,26,0.938,0.01903,1.933,1992.99,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3Ra/a,3Rb/b,2R+/a,2R+/+,2R+/+,funestus-lineageI-clusterB,Y,Y,N,2785218,64552392,58324580,56567024,6227812,51687272,64552392,4806886,14997618,3713634,9747411192,8807011580,8143070842,725839786,223628723,0.0275,36.8,676,1248.7,25519811,829442,315341,1509291,"ERR2659818,ERR2659853,ERR2659888"
VBS17199,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,12,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,163.6,fun,STD,34.21,34,34,34.37,34,34,34.33,34,34,32.95,33,34,0.94,0.01934,1.452,1919.938,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3R+/+,3R+/b,2R+/a,2R+/+,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2787697,71859492,70906469,70520864,953023,65308392,71859492,6663286,15236819,3999402,10850783292,10706876819,10255972529,1006156186,280025829,0.0273,37.2,628.5,1142.6,32347921,910444,313128,1588605,"ERR2659288,ERR2659323,ERR2659358"
VBS17200,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,14,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,163,fun,STD,31.2,31,31,31.39,31,31,31.24,31,30,30.15,30,30,0.94,0.01908,1.54,1713.992,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3Ra/a,3R+/b,2R+/+,2R+/+,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2783086,67128752,64658212,63904138,2470540,58884490,67128752,6280822,13287629,3785832,10136441552,9763390012,9277824869,948404122,255510455,0.0275,37.2,645.5,1177.2,29182012,856845,308534,1503494,"ERR2659287,ERR2659322,ERR2659357"
